index,TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,genre_id,country_id
155,Lupin the Third: The Castle of Cagliostro,1979,7.6,30277,100,4,9
156,Love Actually,2003,7.6,474176,139,3,1
157,Hell or High Water,2016,7.6,224900,102,5,2
158,Wake Up Sid,2009,7.6,30818,138,4,3
159,Ludo,2020,7.6,37528,150,7,3
160,Stree,2018,7.6,32814,128,12,3
161,Aamir,2008,7.6,11241,99,8,3
162,I Am Sam,2001,7.6,149082,132,3,2
163,True Grit,2010,7.6,333378,110,5,2
164,The Distinguished Citizen,2016,7.5,11495,118,4,22
165,Jodhaa Akbar,2008,7.5,32188,213,11,3
166,The Conjuring,2013,7.5,491048,107,8,2
167,Dhamaka,2021,7.5,39620,104,8,3
168,Bareilly Ki Barfi,2017,7.5,23011,123,11,3
169,Les Misérables,2012,7.5,325132,157,3,1
170,Berserk: The Golden Age Arc I - The Egg of the King,2012,7.5,12278,76,10,9
171,Dil Se..,1998,7.5,28409,163,3,3
172,Omar,2013,7.5,14230,96,8,23
173,I Lost My Body,2019,7.5,31531,81,10,19
174,"tick, tick... BOOM!",2021,7.5,96418,121,3,2
175,Coming Soon,2014,7.5,33714,134,3,6
176,Nocturnal Animals,2016,7.5,264884,115,3,2
177,A Monster Calls,2016,7.5,86614,108,10,7
178,On Body and Soul,2017,7.5,27003,116,10,24
179,Ala Vaikunthapurramuloo,2020,7.5,14839,165,3,3
180,The Devil's Advocate,1997,7.5,361422,144,12,12
181,Sivaji: The Boss,2007,7.5,19556,189,3,3
182,Happy as Lazzaro,2018,7.5,17716,125,10,25
183,The Guns of Navarone,1961,7.5,50150,158,9,2
184,Who Am I,2014,7.5,55044,105,8,12
185,White Christmas,1954,7.5,42373,115,11,2
186,Ip Man 2,2010,7.5,103673,108,3,26
187,42,2013,7.5,93314,128,3,2
188,Menace II Society,1993,7.5,57399,97,3,2
189,Hum Aapke Hain Koun..!,1994,7.5,20986,206,11,3
190,Blow,2001,7.5,255099,124,3,2
191,Begin Again,2013,7.4,154049,104,4,2
192,Uncut Gems,2019,7.4,261956,130,3,2
193,Sherlock Holmes: A Game of Shadows,2011,7.4,446531,129,7,2
194,Rurouni Kenshin Part I: Origins,2012,7.4,25793,134,3,9
195,Forgotten,2017,7.4,29804,109,8,13
196,Tamasha,2015,7.4,26790,139,3,3
197,Mudbound,2017,7.4,47676,120,3,2
198,Lady Bird,2017,7.4,277165,94,3,2
199,Molly's Game,2017,7.4,165817,140,3,14
200,Raman Raghav 2.0,2016,7.4,14380,134,8,3
201,Once Upon a Time in Mumbaai,2010,7.4,17494,132,8,3
202,Jaane Tu... Ya Jaane Na,2008,7.4,26738,155,3,3
203,Peepli Live,2010,7.4,12265,104,3,3
204,Even the Rain,2010,7.4,13446,104,3,7
205,Darkest Hour,2017,7.4,193208,125,3,1
206,The Bucket List,2007,7.4,242733,97,3,2
207,American Factory,2019,7.4,21415,110,1,2
208,Miss Americana,2020,7.4,19151,85,1,2
209,The Hand of God,2021,7.4,30235,130,3,25
210,A Nightmare on Elm Street,1984,7.4,230543,91,12,2
211,83,2021,7.4,23781,163,3,3
212,Meenakshi Sundareshwar,2021,7.4,17141,141,4,3
213,Kurup,2021,7.4,11582,155,7,3
214,"Crazy, Stupid, Love.",2011,7.4,507878,118,11,2
215,Schumacher,2021,7.4,21558,112,15,12
216,Guzaarish,2010,7.4,18466,126,3,3
217,What the Health,2017,7.4,28911,97,1,2
218,Mirage,2018,7.4,52657,129,8,7
219,Bully,2011,7.4,10266,92,3,2
220,Phantom Thread,2017,7.4,128600,130,11,2
221,Looper,2012,7.4,566791,119,8,2
222,Felon,2008,7.4,78039,103,7,2
223,Life in a Metro,2007,7.4,11934,124,3,3
224,Kabhi Khushi Kabhie Gham,2001,7.4,48818,210,3,3
225,Kaminey,2009,7.4,17136,135,3,3
226,"Girl, Interrupted",1999,7.3,180532,127,3,2
227,Talaash,2012,7.3,41752,149,8,3
228,Starship Troopers,1997,7.3,288960,129,2,2
229,The Guernsey Literary & Potato Peel Pie Society,2018,7.3,44917,124,11,1
230,Okja,2017,7.3,116305,122,3,13
231,Ishqiya,2010,7.3,10415,115,4,3
232,The Edge of Seventeen,2016,7.3,120488,104,4,2
233,Pyaar Ka Punchnama 2,2015,7.3,14968,159,4,3
234,The Nightingale,2018,7.3,28196,136,8,8
235,Corpse Bride,2005,7.3,265023,77,10,2
236,Memoirs of a Geisha,2005,7.3,146847,145,3,19
237,El Camino: A Breaking Bad Movie,2019,7.3,216847,123,8,2
238,Official Secrets,2019,7.3,45200,112,8,1
239,Coach Carter,2005,7.3,143670,130,3,2
240,The King,2019,7.3,119020,140,3,8
241,Identity,2003,7.3,240433,90,8,2
242,The Best of Enemies,2019,7.3,16441,133,3,2
243,The Professionals,1966,7.3,16168,117,5,2
244,Raat Akeli Hai,2020,7.3,17570,149,8,3
245,Little Women,1994,7.3,57621,115,3,2
246,Badhaai Do,2022,7.3,15032,147,4,3
247,The Conjuring 2,2016,7.3,260693,134,8,2
248,The Fundamentals of Caring,2016,7.3,70542,97,3,2
249,The Ballad of Buster Scruggs,2018,7.3,141528,132,5,2
250,Shot Caller,2017,7.3,83961,120,8,2
251,The Disaster Artist,2017,7.3,149604,104,4,2
252,Blue Jay,2016,7.3,17033,81,11,2
253,Te3n,2016,7.3,12816,136,8,3
254,Monster,2003,7.3,149218,110,7,2
255,No One Killed Jessica,2011,7.2,11665,136,7,3
256,Toilet: A Love Story,2017,7.2,20675,155,4,3
257,Wish Dragon,2021,7.2,24712,99,10,26
258,Mom,2017,7.2,10320,147,7,3
259,The Professor and the Madman,2019,7.2,44418,124,8,2
260,Kabir Singh,2019,7.2,30949,172,3,3
261,Dolemite Is My Name,2019,7.2,59836,118,4,2
262,In the Line of Fire,1993,7.2,101939,128,3,2
263,The Witcher: Nightmare of the Wolf,2021,7.2,41508,83,10,27
264,Ittefaq,2017,7.2,12095,107,8,3
265,The Tinder Swindler,2022,7.2,57606,114,7,1
266,First They Killed My Father,2017,7.2,17871,136,3,28
267,Don't Look Up,2021,7.2,498447,138,2,2
268,Wazir,2016,7.2,18681,103,8,3
269,Gabbar Is Back,2015,7.2,24676,130,3,3
270,Fyre,2019,7.2,44715,98,1,2
271,Steve Jobs,2015,7.2,166288,122,3,1
272,Shooter,2007,7.2,329417,124,8,2
273,The Butler,2013,7.2,114013,132,3,2
274,The Siege of Jadotville,2016,7.2,38308,108,8,29
275,Closer,2004,7.2,215678,94,3,1
276,Private Life,2018,7.2,19023,123,3,2
277,American Murder: The Family Next Door,2020,7.2,26355,83,7,2
278,St. Vincent,2014,7.2,102103,102,4,2
279,A River Runs Through It,1992,7.2,59086,123,3,2
280,The Patriot,2000,7.2,270231,165,3,12
281,Five Feet Apart,2019,7.2,61878,116,11,2
282,Michael Clayton,2007,7.2,163878,120,8,2
283,The Edge of Democracy,2019,7.2,14605,121,1,30
284,Paddington,2014,7.2,111092,96,4,19
285,Wedding Association,2013,7.1,22186,106,4,31
286,Let Me In,2010,7.1,120208,116,12,1
287,Raajneeti,2010,7.1,17555,167,3,3
288,Body of Lies,2008,7.1,224896,128,3,1
289,The Forgotten Battle,2020,7.1,26368,124,3,32
290,Knock Down the House,2019,7.1,12418,86,1,2
291,The Call,2020,7.1,29450,112,8,13
292,Forgetting Sarah Marshall,2008,7.1,280121,111,4,2
293,The Railway Man,2013,7.1,39743,116,3,1
294,The Great Hack,2019,7.1,22838,114,1,2
295,Paddleton,2019,7.1,13419,89,3,2
296,Desperado,1995,7.1,183638,104,8,2
297,Gantz:O,2016,7.1,14501,95,14,9
298,The Ring,2002,7.1,341888,111,12,9
299,Margin Call,2011,7.1,125883,107,8,2
300,Copenhagen,2014,7.1,13135,98,3,2
301,Black Mirror: Bandersnatch,2018,7.1,123377,90,2,1
302,Metallica: Through the Never,2013,7.1,17433,93,13,2
303,Seven Years in Tibet,1997,7.1,141308,136,3,2
304,Girl,2018,7.1,14046,105,3,33
305,Kung Fu Panda 3,2016,7.1,152791,95,4,2
306,To All the Boys I've Loved Before,2018,7.1,101175,100,11,2
307,Arthur Christmas,2011,7.1,58296,97,3,1
308,Trailer Park Boys: The Movie,2006,7.1,12831,95,4,14
309,Karthik Calling Karthik,2010,7.1,11944,135,8,3
310,The White Tiger,2021,7.1,58190,125,3,3
311,Shootout at Lokhandwala,2007,7.1,10139,145,7,3
312,The Devil All the Time,2020,7.1,122321,138,3,2
313,Tangerine,2015,7.1,31385,87,4,2
314,The Danish Girl,2015,7.1,180805,119,3,12
315,The Unforgivable,2021,7.1,101975,112,3,12
316,Phir Hera Pheri,2006,7.1,22505,155,4,3
317,War Dogs,2016,7.1,208185,114,7,2
318,The Dig,2021,7.1,71915,112,3,1
319,Blade,1998,7.1,267181,120,6,2
320,Luck by Chance,2009,7.1,10206,155,11,3
321,Namastey London,2007,7.1,21745,131,4,3
322,Don,2006,7.1,36836,178,8,3
323,Don 2,2011,7.1,52338,139,6,12
324,Main Hoon Na,2004,7.0,35142,179,3,3
325,Gangubai Kathiawadi,2022,7.0,44045,157,3,3
326,Croupier,1998,7.0,21382,94,8,19
327,Pieces of a Woman,2020,7.0,47795,127,3,24
328,Raw,2016,7.0,72460,98,12,15
329,Loving,2016,7.0,34139,123,3,1
330,Harold & Kumar Go to White Castle,2004,7.0,193053,88,4,2
331,Haseen Dillruba,2021,7.0,25771,135,3,3
332,Rose Island,2020,7.0,20019,117,3,25
333,Ferry,2021,7.0,10748,106,3,33
334,Handsome Devil,2017,7.0,13708,95,3,29
335,Torbaaz,2020,7.0,17828,132,3,3
336,Ip Man 3,2015,7.0,54128,105,3,11
337,The Foreigner,2017,7.0,112487,113,8,3
338,Mirai,2018,7.0,14983,98,10,9
339,Gaga: Five Foot Two,2017,7.0,12825,100,13,2
340,The Christmas Chronicles,2018,7.0,71182,104,10,2
